สอบถามเรื่อง การลงเรียนซัมเมอร์,"การลงทะเบียนซัมเมอร์ นักศึกษาสามารถลงทะเบียนได้ไม่เกิน 9 หน่วยกิต และชำระค่าธรรมเนียมการศึกษากึ่งหนึ่ง ของค่าธรรมเนียมการศึกษาปกติ
สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามเรื่อง การทดสอบภาษาอังกฤษ,"กรณีนักศึกษาทดสอบภาษาอังกฤษระบบ kept Exit ให้ดำเนินการสมัครผ่านเว็บ
https://kept.kku.ac.th/web/pages/start 
กรณีนักศึกษามีผลภาษาอังกฤษประเภทอื่น เช่น TOEIC, TOEFL, IELTS สามารถยื่นคะแนนได้ที่ https://kept.kku.ac.th เลือกประเภท “สำหรับนักศึกษา” เพื่อ login เข้าสู่ระบบ เลือกเมนู “ยื่นคะนน” และเลือกประเภทคะแนนที่ต้องการยื่น
สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef"
สอบถามเรื่อง Open House,"สอบถามเพิ่มเติม ฝ่ายวิชาการ line official @176tafef
หรือ https://www.facebook.com/ENKKUAcademicAffairsDivision"
สอบถามเกี่ยวกับหลักสูตรบัณฑิตศึกษา,สอบถามเพิ่มเติม หน่วยบัณฑิตศึกษา 043-009700 ต่อ 50223 หรือ 50225
สอบถามเรื่อง การขอเข้าศึกษาดูงาน,สอบถามที่งานสารบรรณ คณะวิศวฯ โทร 043-009700 ต่อ 50201 ในวันและเวลาราชการ
สอบถามเรื่อง งานรับพระราชทานปริญญาบัตร,หน่วยพัฒนานักศึกษาฯ โทร. 043-009700 ต่อ 50228 ในวันและเวลาราชการ
สอบถามเรื่อง Job fair คณะวิศวกรรมศาสตร์,หน่วยพัฒนานักศึกษาฯ โทร. 043-009700 ต่อ 50228 ในวันและเวลาราชการ
สอบถามเรื่อง การเช่าใช้พื้นที่ของคณะ,หน่วยอาคารสถานที่ โทร.043-009700 ต่อ 45653
หลักสูตรเตรียมวิศวกรรมศาสตร์ (Pre - Engineering),สอบถามได้ที่ ศูนย์นวัตกรรมและบริการวิศวกรรม คณะวิศวกรรมศาสตร์ https://www.facebook.com/IENSKKU/
"หลักสูตรอบรมสำหรับเด็ก
Coding for High School
Digital Lab for Computer Engineer
Advance Coding with Micro Python","ศูนย์นวัตกรรมและบริการวิศวกรรม คณะวิศวกรรมศาสตร์ https://www.facebook.com/IENSKKU/
หรือติดต่อสอบถามเพิ่มเติม
093 538 2435 พี่ป๊อด หรือ Line official : @759slkbe"
การบริการเครื่องมือตรวจวัดและทดสอบวัสดุ,https://kku.world/5ivuix
ห้องสมุดภูมิภิรมย์ คณะวิศวกรรมศาสตร์ มข. Engineering Library,https://www.facebook.com/kkuenglib
การเรียนการสอนวิศวกรรมโยธา,"https://www.en.kku.ac.th/web/civil/
https://www.facebook.com/CivilEngKKU"
การเรียนการสอนวิศวกรรมสื่อดิจิทัล,https://www.facebook.com/DMEKKU/?locale=th_TH
การเรียนการสอนวิศวกรรมไฟฟ้า,https://www.en.kku.ac.th/web/electrical/
การเรียนการสอนวิศวกรรมเกษตร,https://www.en.kku.ac.th/web/ae/
การเรียนการสอนวิศวกรรมอุตสาหการ,"https://www.en.kku.ac.th/web/ie/ 
www.facebook.com/KKUENIE"
การเรียนการสอนวิศวกรรมเครื่องกล,https://www.en.kku.ac.th/web/mech/
การเรียนการสอนวิศวกรรมสิ่งแวดล้อม,https://www.en.kku.ac.th/web/envi/
การเรียนการสอนวิศวกรรมเคมี,https://www.en.kku.ac.th/web/en/chemicalinfo/
การเรียนการสอนวิศวกรรมคอมพิวเตอร์,https://gear.kku.ac.th/
การเรียนการสอนวิศวกรรมระบบอัตโนมัติ หุ่นยนต์ และปัญญาประดิษฐ์,https://www.facebook.com/KKUARIS/
การเรียนการสอนวิศวกรรมโทรคมนาคม,https://www.facebook.com/telecomkku/?locale=th_TH
การเรียนการสอนวิศวกรรมโลจิสติกส์,https://www.facebook.com/LogisticsENinter/
การเรียนการสอนวิศวกรรมกระบวนการเคมี,https://www.facebook.com/p/Chemical-Process-Engineering-KKU-100057064525062/
How do I register for courses normally?,- Register through https://reg.kku.ac.th/ where students can register for 1-15 credits<br>- Confirm registration and pay fees through a bank or QR code as specified on the fee notification<br>- Complete within dates and times announced in the university's academic calendar
What types of course registration are available?,- Normal credit registration: GD (grades A-F)<br>- Non-credit registration: AU (grades S or U)<br>- Thesis course registration: SU (grade S with specified credits that passed)
How do I register for fewer than 3 credits in my final semester and pay half tuition?,"- Submit online petition form BV.9 through gs forms at https://forms.gs.kku.ac.th/<br>- Attach transcript in the gs forms system<br>- Wait for approval; once approved, staff will unlock registration for remaining credits<br>- Print BV.9 form from gs forms system<br>- Register through https://reg.kku.ac.th/ and confirm registration<br>- Take BV.9 documents and transcript to the Registration Office at Pimolkalakit Building<br>- Staff will verify documents and adjust tuition to half price<br>- Log into https://reg.kku.ac.th/, check expenses menu to see reduced fees, and pay through a bank"
How do I maintain student status?,"- Submit online petition form BV.13 through gs forms at https://forms.gs.kku.ac.th/<br>- Wait for approval; once approved, pay the status maintenance fee of 2,500 baht in the gs forms system at the Office of Academic Administration and Development, 1st floor, Pimolkalakit Building"
How do I maintain student status while waiting for thesis publication approval?,"- Submit online petition form BV.13-1 through gs forms at https://forms.gs.kku.ac.th/<br>- Attach transcript, English test results, thesis examination results, evidence of submitting the complete thesis, and publication submission documents<br>- Wait for approval; staff will proceed with the next steps"
How do I take a leave of absence?,"- Submit online petition form BV.14 through gs forms at https://forms.gs.kku.ac.th/<br>- Wait for approval; once approved, pay the leave of absence fee of 2,500 baht in the gs forms system or at the Office of Academic Administration and Development, 1st floor, Pimolkalakit Building"
How do I withdraw from being a student?,- Submit online petition form BV.15 through gs forms at https://forms.gs.kku.ac.th/<br>- Wait for approval; staff will proceed with the next steps
What if I miss the university's deadline for registration/status maintenance/leave of absence?,"- Register through https://reg.kku.ac.th/ during the late registration period set by the university, with a late fee of 50 baht per day<br>- If you miss the late registration period, you must submit a written petition at the faculty for approval by the course instructor, program chair, staff, and dean, with a late fee of 50 baht per day starting from the late registration period"
How do I register for thesis courses?,- Submit online petition form BV.21 through gs forms at https://forms.gs.kku.ac.th/<br>- Upload advisor's CV and academic work evidence in the system<br>- Graduate Studies Unit will process in the Back Office system to allow students to register for thesis courses in https://reg.kku.ac.th/
How do I submit English test results or training certificates?,- Print test scores or training results that have passed<br>- Submit to Graduate Studies Unit staff to forward to Graduate School for official announcement<br>- Master's degree students must pass English requirements before thesis examination<br>- Doctoral students must pass English requirements before dissertation examination
ค่าธรรมเนียมการศึกษาระดับปริญญาโท ภาคปกติ เป็นเท่าไร?,"ป.โท ภาคปกติ 30,000 บาทต่อเทอม"
ค่าธรรมเนียมการศึกษาระดับปริญญาเอก ภาคปกติ เป็นเท่าไร?,"ป.เอก ภาคปกติ 37,500 บาทต่อเทอม"
ค่าธรรมเนียมการศึกษาระดับปริญญาโท โครงการพิเศษ เป็นเท่าไร?,"ป.โท โครงการพิเศษ 40,000 บาทต่อเทอม"
ค่าธรรมเนียมการศึกษาระดับปริญญาเอก โครงการพิเศษ เป็นเท่าไร?,"ป.เอก โครงการพิเศษ 47,500 บาทต่อเทอม"
นักศึกษาต่างชาติระดับบัณฑิตศึกษาต้องจ่ายค่าธรรมเนียมพิเศษเพิ่มเติมเท่าไร?,"นักศึกษาต่างชาติระดับบัณฑิตศึกษา ต้องชำระค่าธรรมเนียมพิเศษเพิ่มเติม เทอมละ 15,000 บาท"
นักศึกษาต่างชาติที่เรียนปริญญาโท ภาคปกติ ต้องจ่ายค่าธรรมเนียมรวมทั้งหมดเท่าไร?,"ค่าธรรมเนียมปกติ 30,000 บาท + ค่าธรรมเนียมนักศึกษาต่างชาติ 15,000 บาท = 45,000 บาทต่อเทอม"
นักศึกษาต่างชาติที่เรียนปริญญาเอก ภาคปกติ ต้องจ่ายค่าธรรมเนียมรวมทั้งหมดเท่าไร?,"ค่าธรรมเนียมปกติ 37,500 บาท + ค่าธรรมเนียมนักศึกษาต่างชาติ 15,000 บาท = 52,500 บาทต่อเทอม"
ค่าธรรมเนียมหลักสูตรนานาชาติ ระดับปริญญาตรี เป็นเท่าไร?,"45,000 บาทต่อเทอม"
หลักสูตรนานาชาติระดับปริญญาตรี มีสาขาวิชาอะไรบ้าง?,วิศวกรรมโทรคมนาคม วิศวกรรมโลจิสติกส์ วิศวกรรมกระบวนการเคมี (เคมี) และวิศวกรรมดิจิทัล
สาขาวิศวกรรมโยธา ระดับปริญญาตรี มีค่าธรรมเนียมเท่าไร?,"20,000 บาทต่อเทอม"
สาขาวิศวกรรมไฟฟ้า ระดับปริญญาตรี มีค่าธรรมเนียมเท่าไร?,"20,000 บาทต่อเทอม"
สาขาวิศวกรรมเกษตร ระดับปริญญาตรี มีค่าธรรมเนียมเท่าไร?,"20,000 บาทต่อเทอม"
สาขาวิศวกรรมอุตสาหการ ระดับปริญญาตรี มีค่าธรรมเนียมเท่าไร?,"20,000 บาทต่อเทอม"
สาขาวิศวกรรมเครื่องกล ระดับปริญญาตรี มีค่าธรรมเนียมเท่าไร?,"20,000 บาทต่อเทอม"
สาขาวิศวกรรมสิ่งแวดล้อม ระดับปริญญาตรี มีค่าธรรมเนียมเท่าไร?,"20,000 บาทต่อเทอม"
สาขาวิศวกรรมเคมี ระดับปริญญาตรี มีค่าธรรมเนียมเท่าไร?,"20,000 บาทต่อเทอม"
สาขาวิศวกรรมคอมพิวเตอร์ ระดับปริญญาตรี มีค่าธรรมเนียมเท่าไร?,"20,000 บาทต่อเทอม"
สาขาวิศวกรรมระบบอิเล็กทรอนิกส์ ระดับปริญญาตรี มีค่าธรรมเนียมเท่าไร?,"20,000 บาทต่อเทอม"
"หลักสูตรปกติ ระดับปริญญาตรี ที่มีค่าธรรมเนียม 30,000 บาทต่อเทอม มีสาขาใดบ้าง?",วิศวกรรมระบบอัตโนมัติ หุ่นยนต์ และปัญญาประดิษฐ์
นักศึกษาต่างชาติในกลุ่มประเทศอาเซียนที่เรียนหลักสูตรนานาชาติต้องจ่ายค่าธรรมเนียมรวมทั้งหมดเท่าไร?,"รวมทั้งหมด 50,000 บาทต่อเทอม (45,000 + 5,000)"
นักศึกษาต่างชาติที่ไม่ได้อยู่ในกลุ่มประเทศอาเซียนที่เรียนหลักสูตรนานาชาติต้องจ่ายค่าธรรมเนียมรวมทั้งหมดเท่าไร?,"รวมทั้งหมด 65,000 บาทต่อเทอม (60,000 + 5,000)"
นักศึกษาต่างชาติที่ไม่ได้อยู่ในกลุ่มประเทศอาเซียนมีค่าธรรมเนียมแรกเข้าเพิ่มเติมหรือไม่?,"มีค่าธรรมเนียมแรกเข้าชำระเพียงครั้งเดียวในเทอมแรก 10,000 บาท"
ช่องทางติดต่อสำหรับนักศึกษาระดับปริญญาตรี คณะวิศวกรรมศาสตร์ มหาวิทยาลัยขอนแก่นมีช่องทางใดบ้าง?,"สามารถติดต่อได้ทาง Line Official Account ""งานการศึกษา ENGKU"""
Line Official Account ของงานการศึกษา คณะวิศวกรรมศาสตร์ ชื่ออะไร?,"""งานการศึกษา ENGKU"""
นักศึกษาสามารถสอบถามข้อมูลเกี่ยวกับเรื่องใดได้บ้างผ่านช่องทางนี้?,- ข้อสงสัยต่างๆ<br>- ข้อมูลประชาสัมพันธ์ต่างๆ<br>- เรื่องเกี่ยวกับงานการศึกษาและพัฒนาทักษะการเรียนรู้
วิธีการเข้าถึง Line Official Account ของงานการศึกษา คณะวิศวกรรมศาสตร์ ทำได้อย่างไร?,https://line.me/R/ti/p/@176tafef
ช่องทางนี้ให้บริการสำหรับนักศึกษาระดับใด?,นักศึกษาระดับปริญญาตรี
ช่องทางนี้เป็นของคณะและมหาวิทยาลัยใด?,คณะวิศวกรรมศาสตร์ มหาวิทยาลัยขอนแก่น
หน่วยงานใดเป็นผู้ดูแลช่องทางการติดต่อนี้?,งานการศึกษาและพัฒนาทักษะการเรียนรู้ คณะวิศวกรรมศาสตร์
LINE Official Account นี้มีชื่อย่อว่าอะไร?,ENGKU
LINE Official Account นี้รองรับการสอบถามเรื่องใดบ้าง?,ข้อสงสัยสอบถาม ข้อมูลประชาสัมพันธ์ต่างๆ และเรื่องเกี่ยวกับงานการศึกษา
ข้อดีของการใช้ Line Official Account ในการติดต่อสื่อสารคืออะไร?,สะดวก รวดเร็ว เข้าถึงง่าย สามารถติดต่อได้ตลอดเวลา และเป็นช่องทางที่นักศึกษาคุ้นเคย
นักศึกษาสามารถใช้ช่องทางนี้เมื่อใด?,สามารถใช้ได้ตลอดเวลาที่ต้องการสอบถามข้อมูลหรือต้องการความช่วยเหลือเกี่ยวกับงานการศึกษา
การติดต่อผ่าน Line Official Account มีค่าใช้จ่ายหรือไม่?,ไม่มีค่าใช้จ่าย นักศึกษาสามารถใช้บริการได้ฟรี
ข้อมูลประชาสัมพันธ์ที่สามารถรับได้จากช่องทางนี้อาจมีอะไรบ้าง?,กำหนดการลงทะเบียน ปฏิทินการศึกษา ประกาศสำคัญ ทุนการศึกษา กิจกรรมของคณะ และข่าวสารสำคัญอื่นๆ
นักศึกษาสามารถขอคำปรึกษาเรื่องการเรียนผ่านช่องทางนี้ได้หรือไม่?,ได้ เนื่องจากเป็นช่องทางสำหรับงานการศึกษาและพัฒนาทักษะการเรียนรู้
มีประโยชน์อย่างไรที่คณะวิศวกรรมศาสตร์มี LINE Official Account?,ช่วยให้การสื่อสารระหว่างนักศึกษาและคณะฯ มีประสิทธิภาพมากขึ้น ลดขั้นตอนการติดต่อ และสามารถให้ข้อมูลได้รวดเร็วทันท่วงที
หากต้องการติดต่อเรื่องเร่งด่วน สามารถใช้ช่องทางนี้ได้หรือไม่?,ได้ แต่ควรคำนึงถึงช่วงเวลาทำการของเจ้าหน้าที่ด้วย
นักศึกษาต่างชาติสามารถใช้ช่องทางนี้ได้หรือไม่?,ได้ แต่อาจต้องสื่อสารด้วยภาษาไทยหรือภาษาอังกฤษตามที่ระบบรองรับ
การลงทะเบียนปกติ จะต้องดำเนินการอย่างไรบ้าง,ดำเนินการผ่าน https://reg.kku.ac.th/ โดยนักศึกษาจะสามารถลงทะเบียนได้ 1-15 หน่วยกิต ยืนยันการลงทะเบียน และชำระเงินผ่านธนาคาร หรือ QR code ตามที่ระบุในใบแจ้งค่าธรรมเนียม ภายในวันและเวลาที่ปฏิทินการศึกษาของมหาวิทยาลัยประกาศเป็นรายปี
ประเภทของการลงทะเบียน มีแบบไหนบ้าง,- การลงทะเบียนแบบนับหน่วยกิต คือ GD (เกรด A-F) - การลงทะเบียนแบบไม่นับหน่วยกิต คือ AU (เกรด S หรือ U) - การลงทะเบียนรายวิชาวิทยานิพนธ์ คือ SU (เกรด S ระบุหน่วยกิตที่ผ่าน)
การขอลงทะเบียนน้อยกว่าหรือเท่ากับ 3 หน่วยกิตสุดท้าย และขอชำระค่าเทอมครึ่งหนึ่ง จะต้องดำเนินการอย่างไรบ้าง,ยื่นคำร้องออนไลน์ บว 9 ผ่าน gs forms ที่ https://forms.gs.kku.ac.th/ และแนบผลการเรียน รอพิจารณาอนุมัติ เมื่อได้รับอนุมัติแล้ว เจ้าหน้าที่จะปลดล็อกให้สามารถลงทะเบียนได้ ลงทะเบียนผ่าน https://reg.kku.ac.th/ และดำเนินการตามขั้นตอนที่กำหนด
การรักษาสภาพนักศึกษา จะต้องดำเนินการอย่างไรบ้าง,"ยื่นคำร้องออนไลน์ บว.13 ผ่าน gs forms ที่ https://forms.gs.kku.ac.th/ รอพิจารณาอนุมัติ แล้วชำระค่าธรรมเนียมรักษาสถานภาพ 2,500 บาท"
การรักษาสภาพนักศึกษา (กรณีรอการยอมรับให้ตีพิมพ์ผลงานวิทยานิพนธ์) จะต้องดำเนินการอย่างไรบ้าง,ยื่นคำร้องออนไลน์ บว.13-1 ผ่าน gs forms ที่ https://forms.gs.kku.ac.th/ พร้อมแนบเอกสารที่เกี่ยวข้อง รอพิจารณาอนุมัติ
การลาพักการศึกษา จะต้องดำเนินการอย่างไรบ้าง,"ยื่นคำร้องออนไลน์ บว.14 ผ่าน gs forms ที่ https://forms.gs.kku.ac.th/ รอพิจารณาอนุมัติ และชำระค่าธรรมเนียม 2,500 บาท"
การลาออกจากการเป็นนักศึกษา จะต้องดำเนินการอย่างไรบ้าง,ยื่นคำร้องออนไลน์ บว.15 ผ่าน gs forms ที่ https://forms.gs.kku.ac.th/ รอพิจารณาอนุมัติ
ลงทะเบียน/รักษาสภาพ/ลาพัก ไม่ทันตามที่มหาวิทยาลัยกำหนด ต้องดำเนินการอย่างไรบ้าง,ดำเนินการผ่าน https://reg.kku.ac.th/ ช่วงลงทะเบียนล่าช้า โดยมีค่าปรับวันละ 50 บาท หากพ้นกำหนดต้องเขียนคำร้องที่คณะฯ
การลงทะเบียนเรียนรายวิชาวิทยานิพนธ์สามารถดำเนินการอย่างไรบ้าง,ยื่นคำร้องออนไลน์ บว.21 ผ่าน gs forms ที่ https://forms.gs.kku.ac.th/ รอเจ้าหน้าที่ดำเนินการให้สามารถลงทะเบียนได้
การส่งผลการสอบและผลการอบรมภาษาอังกฤษ จะต้องดำเนินการอย่างไรบ้าง,นักศึกษาปริ้นท์ผลคะแนน หรือผลการอบรมที่ผ่านแล้ว นำส่งที่หน่วยบัณฑิตศึกษาเพื่อดำเนินการต่อ
การแต่งตั้ง/เปลี่ยนแปลงอาจารย์ที่ปรึกษา จะต้องดำเนินการอย่างไรบ้าง,ยื่นคำร้องออนไลน์ บว.21 ผ่าน gs forms ที่ https://forms.gs.kku.ac.th/ และอัพโหลดประวัติอาจารย์ รอพิจารณาอนุมัติ
การเปลี่ยนชื่อเรื่องวิทยานิพนธ์ จะต้องดำเนินการอย่างไรบ้าง,ยื่นคำร้องออนไลน์ บว.24 ผ่าน gs forms ที่ https://forms.gs.kku.ac.th/ รอพิจารณาอนุมัติ
การขอสอบวัดคุณสมบัติ มีขั้นตอนอย่างไรบ้าง (เฉพาะนักศึกษาระดับปริญญาเอก),ยื่นคำร้องออนไลน์ บว.30 ผ่าน gs forms ที่ https://forms.gs.kku.ac.th/ ก่อนวันสอบ 20 วัน และดำเนินการตามขั้นตอนที่กำหนด
ขั้นตอนการแจ้งผลสอบวัดคุณสมบัติ จะต้องดำเนินการอย่างไรบ้าง,พิมพ์ บว.32 จาก gs forms และให้คณะกรรมการลงนาม ส่งเอกสารที่หน่วยบัณฑิตศึกษา ภายใน 15 วันหลังสอบ
